epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.159,1.33367,3.14748,1.47448,0.00749,1,0.61106,0.34037,1.10134,3.15264,1.36731,6.668e-05,6.668e-05,6.668e-05
2,133.367,1.23365,2.74873,1.312,0.00673,1,0.84691,0.53583,1.08362,2.98696,1.36107,0.000147059,0.000147059,0.000147059
3,203.925,1.13513,2.02592,1.27246,0.65485,0.72368,0.81036,0.50235,1.26038,2.58734,1.39493,0.000224138,0.000224138,0.000224138
4,293.514,1.07244,1.53233,1.21563,1,0.44057,0.8822,0.57403,1.27101,2.3938,1.38874,0.000297916,0.000297916,0.000297916
5,358.387,1.07,1.32645,1.17947,0.99682,0.44737,0.84437,0.53928,1.28969,2.3612,1.39133,0.000368394,0.000368394,0.000368394
6,423.532,1.08872,1.31986,1.22474,1,0.34133,0.84216,0.54476,1.25103,2.51592,1.35573,0.00043557,0.00043557,0.00043557
7,488.663,1.14145,1.27,1.15393,0.87775,0.57352,0.88014,0.59381,1.27385,2.1256,1.36701,0.000499447,0.000499447,0.000499447
8,553.699,1.05515,1.10873,1.12306,0.93832,0.66118,0.88523,0.57518,1.21535,1.93624,1.34526,0.000560022,0.000560022,0.000560022
9,617.984,1.12005,1.16762,1.1756,0.98539,0.6903,0.86818,0.54294,1.17676,2.01601,1.34146,0.000617297,0.000617297,0.000617297
10,682.761,1.10885,1.14991,1.17125,0.88714,0.78618,0.87525,0.55922,1.14962,1.751,1.31735,0.000671271,0.000671271,0.000671271
11,747.587,1.02246,1.0499,1.08902,0.84402,0.86659,0.87316,0.54756,1.23939,1.6459,1.43448,0.000721944,0.000721944,0.000721944
12,812.434,1.01108,1.0801,1.10748,0.94638,0.89943,0.93342,0.57563,1.32136,1.58031,1.46069,0.000769317,0.000769317,0.000769317
13,882.374,1.06698,1.07189,1.12892,0.89676,0.84868,0.90947,0.55133,1.31832,1.62087,1.44652,0.000813389,0.000813389,0.000813389
14,910.92,1.05176,1.01358,1.1118,0.82142,0.80366,0.85244,0.56938,1.16619,1.58804,1.32739,0.000854161,0.000854161,0.000854161
15,935.729,1.06836,1.07805,1.13116,0.88695,0.86819,0.90829,0.60824,1.15843,1.57832,1.35582,0.000891632,0.000891632,0.000891632
16,960.436,1.08221,1.00196,1.12585,0.85417,0.87993,0.87656,0.57748,1.18243,1.59832,1.34466,0.000925802,0.000925802,0.000925802
17,985.478,1.04814,1.03119,1.12924,0.91573,0.78618,0.87958,0.597,1.19127,1.41327,1.29837,0.000956671,0.000956671,0.000956671
18,1009.77,1.03953,1.00219,1.13498,0.93246,0.81848,0.92215,0.60402,1.12845,1.35698,1.27942,0.00098424,0.00098424,0.00098424
19,1032.21,1.06378,1.0184,1.14615,0.88137,0.87449,0.92019,0.5942,1.12133,1.29401,1.27161,0.00100851,0.00100851,0.00100851
20,1055.47,1.05445,0.99091,1.13539,0.95245,0.93284,0.96735,0.62842,1.15792,1.1721,1.29935,0.00102948,0.00102948,0.00102948
21,1078.77,0.93856,0.91517,1.1004,0.91834,0.94243,0.95202,0.60262,1.25324,1.10699,1.36644,0.00100687,0.00100687,0.00100687
22,1102.16,1.05833,0.96548,1.14638,0.81885,0.94243,0.89977,0.58407,1.24664,1.06927,1.35729,0.000973861,0.000973861,0.000973861
23,1126.07,0.9779,0.89168,1.08696,0.87895,0.94243,0.94801,0.64899,1.11175,1.08631,1.25365,0.000940855,0.000940855,0.000940855
24,1149.72,0.98241,0.93607,1.10058,0.94819,0.97368,0.94535,0.5974,1.14352,1.09957,1.2859,0.000907848,0.000907848,0.000907848
25,1173.83,0.94867,0.87985,1.04432,0.9256,0.91091,0.92253,0.58044,1.22028,1.18663,1.42507,0.000874842,0.000874842,0.000874842
26,1197.85,0.95239,0.89065,1.06003,0.91908,0.91118,0.91856,0.57511,1.25244,1.1445,1.48473,0.000841835,0.000841835,0.000841835
27,1222.15,0.94886,0.90862,1.07723,0.96092,0.94243,0.943,0.60583,1.16154,1.07443,1.43281,0.000808828,0.000808828,0.000808828
28,1246.53,0.93342,0.79098,1.04675,0.95783,0.97368,0.97092,0.66625,1.09546,0.93906,1.34862,0.000775822,0.000775822,0.000775822
29,1270.71,0.92138,0.83229,1.08352,0.96046,0.97368,0.9713,0.66998,1.06243,0.92137,1.30364,0.000742815,0.000742815,0.000742815
30,1295.23,0.92963,0.82194,1.07164,0.96066,0.97368,0.96787,0.65476,1.08044,0.92769,1.29419,0.000709809,0.000709809,0.000709809
31,1319.67,0.93309,0.83469,1.04382,0.96425,0.97368,0.96713,0.65933,1.09264,0.92876,1.29638,0.000676802,0.000676802,0.000676802
32,1375.32,0.91765,0.78139,1.04548,0.96387,0.97194,0.98011,0.65788,1.10062,0.96106,1.30646,0.000643795,0.000643795,0.000643795
33,1423.15,0.91246,0.78219,1.06349,0.99987,0.97247,0.98532,0.68414,1.1183,0.91462,1.31862,0.000610789,0.000610789,0.000610789
34,1444.85,0.93407,0.77733,1.05671,0.96824,0.97368,0.98532,0.67255,1.13147,0.89486,1.32783,0.000577782,0.000577782,0.000577782
35,1467.95,0.86136,0.76353,1.03018,0.96546,0.97368,0.98221,0.67062,1.07816,0.94902,1.29642,0.000544776,0.000544776,0.000544776
36,1491.96,0.90285,0.76242,1.03576,0.95735,0.97368,0.96307,0.65172,1.06845,0.99213,1.31467,0.000511769,0.000511769,0.000511769
37,1515.77,0.86924,0.74531,1.03526,0.96352,0.97368,0.95043,0.6236,1.08843,0.95634,1.3236,0.000478762,0.000478762,0.000478762
38,1540.3,0.89071,0.75702,1.03286,0.96325,0.97368,0.94932,0.62642,1.08956,0.93909,1.31158,0.000445756,0.000445756,0.000445756
39,1564.07,0.78055,0.70543,1.01633,0.93447,0.97368,0.93939,0.64334,1.05225,0.91608,1.27194,0.000412749,0.000412749,0.000412749
40,1588.59,0.80229,0.7042,1.01298,0.9503,0.96818,0.95943,0.66437,1.05411,0.86265,1.26052,0.000379743,0.000379743,0.000379743
41,1630.18,0.76665,0.90996,0.97835,0.92195,0.94243,0.95603,0.6539,1.07651,0.88631,1.26591,0.000346736,0.000346736,0.000346736
42,1696.53,0.70008,0.76978,0.95672,0.91503,0.94243,0.95216,0.63899,1.10994,0.93945,1.28,0.000313729,0.000313729,0.000313729
43,1731.45,0.73603,0.80623,0.96174,0.94006,0.91118,0.95111,0.6553,1.09899,0.96961,1.27398,0.000280723,0.000280723,0.000280723
44,1761.35,0.71117,0.7686,0.94874,0.94397,0.93654,0.95512,0.66216,1.09228,1.03755,1.26332,0.000247716,0.000247716,0.000247716
45,1794.37,0.67435,0.78104,0.93199,0.94735,0.93777,0.95698,0.6613,1.08783,1.04529,1.26267,0.00021471,0.00021471,0.00021471
46,1828.05,0.71,0.77715,0.96668,0.94901,0.93857,0.95067,0.66615,1.08818,1.01811,1.2631,0.000181703,0.000181703,0.000181703
47,1891.34,0.70849,0.78222,0.91815,0.94938,0.93926,0.9534,0.66265,1.09347,0.97344,1.26434,0.000148696,0.000148696,0.000148696
48,1961.81,0.72628,0.80055,0.95007,0.95273,0.94108,0.95834,0.64849,1.09287,0.88237,1.27446,0.00011569,0.00011569,0.00011569
49,1992.55,0.66791,0.72669,0.92578,0.95475,0.94179,0.95947,0.66024,1.09332,0.85082,1.2773,8.26832e-05,8.26832e-05,8.26832e-05
50,2025.72,0.63846,0.72909,0.93142,0.95557,0.94187,0.96013,0.65313,1.08848,0.83602,1.27555,4.96766e-05,4.96766e-05,4.96766e-05
